Sr. No.,State,Hon'ble Members of Parliaments,Constituency,Allocated AMOUNT ( ₹ ),dataset,row_number,quality_issues,Work,Work ID,IDA,Hon'ble Members of Parliament,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount ( ₹ ),Calamity Type,Calamity Name,Date of Consent,Consent Amount ( ₹ ),Work Category,Work Description,Image,Completion Date,Amount Disbursed ( ₹ ),Work category,Work description,Recommended date,Sanction Date,Sanction Amount ( ₹ ),Work Status,WORK,Elected/Nominated,RECOMMENDED AMOUNT   ( ₹ )
8,Kerala,,KOLLAM,,Works Completed.csv,9,MISSING_OR_BLANK,WS/MP345/2024-2025/134144-Construction of buildings for community cultural activities,,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),Shri NK Premachandran,,,,,,,,,Normal/Others,Construction of Head Quarter Building  for Perumon Thanal Charitable Trust in Panayam Grama Panchayat of Kollam Constituency (2nd  reach),,17-Aug-24,338444,,,,,,,,,
9,Punjab,,FARIDKOT(SC),,Works Completed.csv,10,MISSING_OR_BLANK,WS/MP18152/2024-2025/133694-Construction of rooms and halls in school and colleges,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Construction of MID DAY Meal Shed in Govt Primary school Pakka No.4,,07-Apr-25,300000,,,,,,,,,
10,Punjab,,FARIDKOT(SC),,Works Completed.csv,11,MISSING_OR_BLANK,WS/MP18152/2024-2025/133696-Installing community drinking water plants,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Installation of RO System and water cooler in Govt Primary school Pakka No.4,,07-Apr-25,84500,,,,,,,,,
11,Punjab,,FARIDKOT(SC),,Works Completed.csv,12,MISSING_OR_BLANK,WS/MP18152/2024-2025/133701-Installing community drinking water plants,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Installation of RO System and water cooler in Govt Primary school Bajakhana Main,,07-Apr-25,84500,,,,,,,,,
12,Punjab,,FARIDKOT(SC),,Works Completed.csv,13,MISSING_OR_BLANK,WS/MP18152/2024-2025/133693-Construction of rooms and halls in school and colleges,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Construction of MID DAY Meal Shed in Govt Primary school Gumti Khurd,,07-Apr-25,300000,,,,,,,,,
13,Punjab,,FARIDKOT(SC),,Works Completed.csv,14,MISSING_OR_BLANK,WS/MP18152/2024-2025/133703-Installing community drinking water plants,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Installation of RO System and water cooler in Govt Primary school Dhudi,,07-Apr-25,84500,,,,,,,,,
14,Punjab,,FARIDKOT(SC),,Works Completed.csv,15,MISSING_OR_BLANK,WS/MP18152/2024-2025/133688-Construction of rooms and halls in school and colleges,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Construction of MID DAY Meal Shed in Govt Primary school Sedha Singhwala,,07-Apr-25,300000,,,,,,,,,
15,Punjab,,FARIDKOT(SC),,Works Completed.csv,16,MISSING_OR_BLANK,WS/MP18152/2024-2025/133687-Construction of rooms and halls in school and colleges,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Construction of MID DAY Meal Shed in Govt Primary school Gondara,,07-Apr-25,300000,,,,,,,,,
27,Uttar Pradesh,,SHAHJAHANPUR(SC),,Works Completed.csv,28,MISSING_OR_BLANK,WS/MP492/2024-2025/134981-Construction of bus-sheds or bus-stops,,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA),Shri Arun Kumar Sagar,,,,,,,,,Normal/Others,15 Yatri Tin/Bus shades List for rural and Urban Areas as per enclosed List,,25-Nov-24,9900000,,,,,,,,,
28,Punjab,,FARIDKOT(SC),,Works Completed.csv,29,MISSING_OR_BLANK,WS/MP18152/2024-2025/133697-Construction of rooms and halls in school and colleges,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Construction of Smart Classroom & Cycle Shed in Govt Primary school Machaki Mal Singh,,07-Apr-25,298940,,,,,,,,,
33,Himachal Pradesh,,MANDI,,Works Completed.csv,34,MISSING_OR_BLANK,WS/MP18328/2024-2025/138242-Lighting of public spaces,,MANDI(DEPUTY COMMISSIONER MANDI_IDA),Kangana Ranaut,,,,,,,,,Normal/Others,"Installation of Solar Lights, Lightning of Public Spaces. Installation of One Solar Light (12 Watt) to the house of Jamna Devi W/o Late Sh. Devki Nandan, Village Khuiri Dom, PO- Rajgarh, Tehsil-Balh, District-Mandi, H.P. PIN-175027, Ph- 8219147679",,16-Jun-25,14805,,,,,,,,,
34,Himachal Pradesh,,MANDI,,Works Completed.csv,35,MISSING_OR_BLANK,WS/MP18328/2024-2025/138243-Lighting of public spaces,,MANDI(DEPUTY COMMISSIONER MANDI_IDA),Kangana Ranaut,,,,,,,,,Normal/Others,"Installation of Solar Lights, Lightning of Public Spaces. Installation of One Solar Light (12 Watt) to the house of Deepak Thakur S/o Late Sh. Devki Nandan, Village Khuiri Dom, PO- Rajgarh, Tehsil-Balh, District-Mandi, H.P. PIN-175027, Ph- 7986677538",,16-Jun-25,14805,,,,,,,,,
35,Himachal Pradesh,,MANDI,,Works Completed.csv,36,MISSING_OR_BLANK,WS/MP18328/2024-2025/138244-Lighting of public spaces,,MANDI(DEPUTY COMMISSIONER MANDI_IDA),Kangana Ranaut,,,,,,,,,Normal/Others,"Installation of Solar Lights, Lightning of Public Spaces. Installation of One Solar Light (12 Watt) near the house of Suneel Kumar S/o Gulaba Ram, Village Kalehri, PO- Balhara, Tehsil-Baldwara, District-Mandi, H.P. PIN-175033, Ph- 7590053551",,16-Jun-25,14805,,,,,,,,,
36,Punjab,,FARIDKOT(SC),,Works Completed.csv,37,MISSING_OR_BLANK,WS/MP18152/2024-2025/133695-Construction of rooms and halls in school and colleges,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Construction of Cycle Shed in Govt Primary school Lambwali,,07-Apr-25,197304,,,,,,,,,
37,Punjab,,FARIDKOT(SC),,Works Completed.csv,38,MISSING_OR_BLANK,WS/MP18152/2024-2025/133699-Installing community drinking water plants,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Installation of RO System and water cooler in Govt Primary school Dhilwan kalan,,07-Apr-25,84500,,,,,,,,,
38,Punjab,,FARIDKOT(SC),,Works Completed.csv,39,MISSING_OR_BLANK,WS/MP18152/2024-2025/133692-Construction of rooms and halls in school and colleges,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Construction of MID DAY Meal Shed in Govt Primary school Okandwala,,07-Apr-25,299155,,,,,,,,,
40,Punjab,,FARIDKOT(SC),,Works Completed.csv,41,MISSING_OR_BLANK,WS/MP18152/2024-2025/137630-Purchase of mobile water tankers,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Purchase of Steel mobile water tanker,,07-Apr-25,200000,,,,,,,,,
41,Punjab,,FARIDKOT(SC),,Works Completed.csv,42,MISSING_OR_BLANK,WS/MP18152/2024-2025/137631-Construction of rooms and halls in school and colleges,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Construction of mid-day meal Shed in Govt Primary school Ratti rori Tibbian,,07-Apr-25,299155,,,,,,,,,
42,Punjab,,FARIDKOT(SC),,Works Completed.csv,43,MISSING_OR_BLANK,WS/MP18152/2024-2025/137637-Construction of rooms and halls in school and colleges,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Construction of mid-day meal Shed in Govt Primary school Dana romana,,07-Apr-25,299155,,,,,,,,,
43,Punjab,,FARIDKOT(SC),,Works Completed.csv,44,MISSING_OR_BLANK,WS/MP18152/2024-2025/137640-Construction of rooms and halls in school and colleges,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Construction of Midday meal Shed in Govt Primary school Dod Main,,07-Apr-25,299155,,,,,,,,,
44,Punjab,,FARIDKOT(SC),,Works Completed.csv,45,MISSING_OR_BLANK,WS/MP18152/2024-2025/137641-Construction of rooms and halls in school and colleges,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Construction of mid-day meal Shed in Govt primary School,,07-Apr-25,299155,,,,,,,,,
45,Punjab,,FARIDKOT(SC),,Works Completed.csv,46,MISSING_OR_BLANK,WS/MP18152/2024-2025/137633-Purchase of mobile water tankers,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Purchase of mobile Steel water tanker in GP Mai Godri Sahib,,07-Apr-25,200000,,,,,,,,,
46,Punjab,,FARIDKOT(SC),,Works Completed.csv,47,MISSING_OR_BLANK,WS/MP18152/2024-2025/137635-Street lights,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Installation of Fixed Street Lights,,07-Apr-25,200000,,,,,,,,,
72,Punjab,,FARIDKOT(SC),,Works Completed.csv,73,MISSING_OR_BLANK,WS/MP18152/2024-2025/137632-Installing community drinking water plants,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Installation of RO System and water cooler in Govt Primary school Dana Romana,,07-Apr-25,84500,,,,,,,,,
73,Punjab,,FARIDKOT(SC),,Works Completed.csv,74,MISSING_OR_BLANK,WS/MP18152/2024-2025/137634-Installing community drinking water plants,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Installation of RO System and water cooler in Govt Primary school Ratti Rori Tibbian,,07-Apr-25,84500,,,,,,,,,
74,Punjab,,FARIDKOT(SC),,Works Completed.csv,75,MISSING_OR_BLANK,WS/MP18152/2024-2025/137639-Installing community drinking water plants,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Installation of RO System and water cooler in Govt Primary school,,07-Apr-25,84500,,,,,,,,,
75,Punjab,,FARIDKOT(SC),,Works Completed.csv,76,MISSING_OR_BLANK,WS/MP18152/2024-2025/137638-Installing community drinking water plants,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Installation of RO System and water cooler in Govt Primary school Balbir Basti,,07-Apr-25,84500,,,,,,,,,
76,Punjab,,FARIDKOT(SC),,Works Completed.csv,77,MISSING_OR_BLANK,WS/MP18152/2024-2025/137636-Installing community drinking water plants,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Installation of RO System and water cooler in Govt Primary school,,07-Apr-25,84500,,,,,,,,,
84,Punjab,,FARIDKOT(SC),,Works Completed.csv,85,MISSING_OR_BLANK,WS/MP18152/2024-2025/141223-Street lights,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Installation of Street lights at Gram Panchayat Kothe pakka no 1,,07-Apr-25,100000,,,,,,,,,
85,Punjab,,FARIDKOT(SC),,Works Completed.csv,86,MISSING_OR_BLANK,WS/MP18152/2024-2025/141195-Street lights,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Installation of Street lights,,07-Apr-25,200000,,,,,,,,,
86,Punjab,,FARIDKOT(SC),,Works Completed.csv,87,MISSING_OR_BLANK,WS/MP18152/2024-2025/141192-Fitting of Sitting RCC Benches in Public Places,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Fitting of Sitting RCC Benches in Public Places,,07-Apr-25,150000,,,,,,,,,
87,Punjab,,FARIDKOT(SC),,Works Completed.csv,88,MISSING_OR_BLANK,WS/MP18152/2024-2025/141197-Street lights,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Installation of Street lights,,07-Apr-25,200000,,,,,,,,,
88,Punjab,,FARIDKOT(SC),,Works Completed.csv,89,MISSING_OR_BLANK,WS/MP18152/2024-2025/141224-Street lights,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Installation of Street lights,,07-Apr-25,200000,,,,,,,,,
89,Punjab,,FARIDKOT(SC),,Works Completed.csv,90,MISSING_OR_BLANK,WS/MP18152/2024-2025/141217-Street lights,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Installation of Street lights,,07-Apr-25,200000,,,,,,,,,
90,Punjab,,FARIDKOT(SC),,Works Completed.csv,91,MISSING_OR_BLANK,WS/MP18152/2024-2025/141213-Fitting of Sitting RCC Benches in Public Places,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Fitting of Sitting RCC Benches in Public Places at Gram panchayat Nawan Mehmuana,,07-Apr-25,150000,,,,,,,,,
91,Punjab,,FARIDKOT(SC),,Works Completed.csv,92,MISSING_OR_BLANK,WS/MP18152/2024-2025/141204-Fitting of Sitting RCC Benches in Public Places,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Fitting of Sitting RCC Benches in Public Places,,07-Apr-25,150000,,,,,,,,,
92,Punjab,,FARIDKOT(SC),,Works Completed.csv,93,MISSING_OR_BLANK,WS/MP18152/2024-2025/141199-Fitting of Sitting RCC Benches in Public Places,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Fitting of Sitting RCC Benches in Public Places,,07-Apr-25,150000,,,,,,,,,
93,Punjab,,FARIDKOT(SC),,Works Completed.csv,94,MISSING_OR_BLANK,WS/MP18152/2024-2025/141202-Fitting of Sitting RCC Benches in Public Places,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Fitting of Sitting RCC Benches in Public Places,,07-Apr-25,150000,,,,,,,,,
94,Punjab,,FARIDKOT(SC),,Works Completed.csv,95,MISSING_OR_BLANK,WS/MP18152/2024-2025/141201-Fitting of Sitting RCC Benches in Public Places,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Fitting of Sitting RCC Benches in Public Places,,07-Apr-25,150000,,,,,,,,,
95,Punjab,,FARIDKOT(SC),,Works Completed.csv,96,MISSING_OR_BLANK,WS/MP18152/2024-2025/141200-Fitting of Sitting RCC Benches in Public Places,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Fitting of Sitting RCC Benches in Public Places,,07-Apr-25,150000,,,,,,,,,
96,Punjab,,FARIDKOT(SC),,Works Completed.csv,97,MISSING_OR_BLANK,WS/MP18152/2024-2025/141208-Fitting of Sitting RCC Benches in Public Places,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Fitting of Sitting RCC Benches in Public Places,,07-Apr-25,150000,,,,,,,,,
97,Punjab,,FARIDKOT(SC),,Works Completed.csv,98,MISSING_OR_BLANK,WS/MP18152/2024-2025/141209-Fitting of Sitting RCC Benches in Public Places,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Fitting of Sitting RCC Benches in Public Places,,07-Apr-25,150000,,,,,,,,,
98,Punjab,,FARIDKOT(SC),,Works Completed.csv,99,MISSING_OR_BLANK,WS/MP18152/2024-2025/141210-Fitting of Sitting RCC Benches in Public Places,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Fitting of Sitting RCC Benches in Public Places,,07-Apr-25,150000,,,,,,,,,
99,Punjab,,FARIDKOT(SC),,Works Completed.csv,100,MISSING_OR_BLANK,WS/MP18152/2024-2025/141211-Fitting of Sitting RCC Benches in Public Places,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Fitting of Sitting RCC Benches in Public Places,,07-Apr-25,150000,,,,,,,,,
100,Punjab,,FARIDKOT(SC),,Works Completed.csv,101,MISSING_OR_BLANK,WS/MP18152/2024-2025/141207-Fitting of Sitting RCC Benches in Public Places,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Fitting of Sitting RCC Benches in Public Places,,07-Apr-25,150000,,,,,,,,,
101,Punjab,,FARIDKOT(SC),,Works Completed.csv,102,MISSING_OR_BLANK,WS/MP18152/2024-2025/141206-Fitting of Sitting RCC Benches in Public Places,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Fitting of Sitting RCC Benches in Public Places,,07-Apr-25,150000,,,,,,,,,
102,Punjab,,FARIDKOT(SC),,Works Completed.csv,103,MISSING_OR_BLANK,WS/MP18152/2024-2025/141205-Fitting of Sitting RCC Benches in Public Places,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Fitting of Sitting RCC Benches in Public Places,,07-Apr-25,150000,,,,,,,,,
103,Punjab,,FARIDKOT(SC),,Works Completed.csv,104,MISSING_OR_BLANK,WS/MP18152/2024-2025/141215-Fitting of Sitting RCC Benches in Public Places,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Fitting of Sitting RCC Benches in Public Places at Gram panchayat Pakka no 4,,07-Apr-25,150000,,,,,,,,,
104,Punjab,,FARIDKOT(SC),,Works Completed.csv,105,MISSING_OR_BLANK,WS/MP18152/2024-2025/141212-Fitting of Sitting RCC Benches in Public Places,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Fitting of Sitting RCC Benches in Public Places,,07-Apr-25,150000,,,,,,,,,
105,Punjab,,FARIDKOT(SC),,Works Completed.csv,106,MISSING_OR_BLANK,WS/MP18152/2024-2025/141214-Fitting of Sitting RCC Benches in Public Places,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Fitting of Sitting RCC Benches in Public Places at Gram panchayat Pakka no 1,,07-Apr-25,150000,,,,,,,,,
109,Punjab,,FIROZPUR,,Works Completed.csv,110,MISSING_OR_BLANK,WS/MP18153/2024-2025/137282-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System At Govt. primary School Sodhi Nagar (Capacity 500 Ltrs),,30-Dec-24,232297,,,,,,,,,
110,Punjab,,FIROZPUR,,Works Completed.csv,111,MISSING_OR_BLANK,WS/MP18153/2024-2025/137281-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System At Govt. Primary School Bhamba Landa (Capacity 500 Ltrs),,30-Dec-24,232415,,,,,,,,,
111,Punjab,,FIROZPUR,,Works Completed.csv,112,MISSING_OR_BLANK,WS/MP18153/2024-2025/137280-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System At Govt. High School Sodhi Nagar (Capacity 500 Ltrs),,30-Dec-24,232062,,,,,,,,,
112,Punjab,,FIROZPUR,,Works Completed.csv,113,MISSING_OR_BLANK,WS/MP18153/2024-2025/137279-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System At Govt. Primary School Sodhe Wala (Capacity 500 Ltrs),,18-Mar-25,232415,,,,,,,,,
113,Punjab,,FIROZPUR,,Works Completed.csv,114,MISSING_OR_BLANK,WS/MP18153/2024-2025/137278-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System At Govt. High School Kot Karor Kalan (Capacity 500 Ltrs),,30-Dec-24,232650,,,,,,,,,
114,Punjab,,FIROZPUR,,Works Completed.csv,115,MISSING_OR_BLANK,WS/MP18153/2024-2025/137286-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System At Govt. Middal School Sulhani (Capacity 500 Ltrs),,07-Jan-25,232767,,,,,,,,,
115,Punjab,,FIROZPUR,,Works Completed.csv,116,MISSING_OR_BLANK,WS/MP18153/2024-2025/137285-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System At Govt. Sen. Sec. (Girls) School Mamdot (Capacity 500 Ltrs),,30-Dec-24,232767,,,,,,,,,
116,Punjab,,FIROZPUR,,Works Completed.csv,117,MISSING_OR_BLANK,WS/MP18153/2024-2025/137284-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System At Govt. Primary School Jawahar Singh Wala (Capacity 500 Ltrs),,30-Dec-24,231710,,,,,,,,,
117,Punjab,,FIROZPUR,,Works Completed.csv,118,MISSING_OR_BLANK,WS/MP18153/2024-2025/137283-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System At Govt. Primary  School Bhure Kalan (Capacity 500 Ltrs),,08-Jan-25,232497,,,,,,,,,
118,Punjab,,FIROZPUR,,Works Completed.csv,119,MISSING_OR_BLANK,WS/MP18153/2024-2025/137292-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System At Govt. High School Wahge wala (Capacity 500 Ltrs),,30-Dec-24,232650,,,,,,,,,
119,Punjab,,FIROZPUR,,Works Completed.csv,120,MISSING_OR_BLANK,WS/MP18153/2024-2025/137291-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System At Govt. Middal School Jamitpur Dheru (Capacity 500 Ltrs),,30-Dec-24,231240,,,,,,,,,
